Utterance,Intent,Sentiment,User Action,Slot_Label,Slot_Value
What is its weight?,2,0,14,0,0
oh that looks like a heavy mobile. I want a handy mobile which is easy to carry,1,-1,0,O O O O O O O O O O O O O O B-Weight_g O O,Light
But I want a light weight phone that can fit easily in skinny jeans as well,3,0,0,0,0
What is its cost?,2,0,8,0,0
What is its weight,2,0,14,0,0
"Okay, I like this phone. Pack it for me.",6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hi, I want to buy a phone",0,0,0,0,0
"Actually, I am not restricted to any particular model but i need to have a phone that has high memory.",1,0,0,O O O O O O O O O O O O O O O O O O B-RAM O,"High,High"
What is its memory?,2,0,5,0,0
"Superb, What is its cost?",2,0,8,0,0
"Unfortunately, that's too costly for me. Do you have 64 GB internal memory phone with lower price ?",1,-1,0,O O O O O O O O O B-Internal_RAM O O O O O B-Cost O O,"64,Less"
That is good to know but can't afford it,3,0,0,0,0
What is its color?,2,0,2,0,0
I will take it.,6,0,0,0,0
Thanks a ton,4,1,0,0,0
"Hi, I am interested in buying a phone.",0,0,0,0,0
"Yes, it should be light weight and big screen",1,0,0,O O O O B-Weight_g O O B-Display_Size O,"Light,Big"
What is its color?,2,0,2,0,0
"Oh, I am fond of this color. can you recommend  black color  light weight and large screen phone ?",1,-1,0,O O O O O O O O O O B-Color O O O O O O O O,Black
What is its price?,2,0,8,0,0
Lovely it is under my budget. I will buy it.,6,0,0,0,0
Thank you so much,4,1,0,0,0
"Good Evening, I am in urgent need of a phone.",0,0,0,0,0
I want good camera vivo phone,1,0,0,O O B-Camera O B-Brand O       ,"Vivo,High,High"
What is its memory?,2,0,5,0,0
What is its price?,2,0,8,0,0
But my budget is more around 500 Euro. Can you suggest a high range mobile ?,1,-1,0,O O O O B-Cost O B-Cost O O O O O O O O O,500
But I want in higher range ,3,0,0,0,0
What is its color?,2,0,2,0,0
"Lovely, I will buy it.",6,0,0,0,0
Thanks a ton,4,1,0,0,0
"Hello , can you help me in selecting a phone ?",0,0,0,0,0
 I want to buy a black color multisim Samsung phone  for my son.,1,0,0,O O O O O B-Color O B-Sim B-Brand O O O O,"Black,M,Brand-Samsung"
"I have budget constraints, it should be under 400 Euro",1,0,0,O O O O O O O B-Cost I-Cost O,400-
What is its display size?,2,0,3,0,0
I want a phone which has small display size,1,0,0,O O O O O O B-Display_Size O O,Small
But I am not comfortable with big screen phone,3,-1,0,0,0
What is its price?,2,0,8,0,0
"Perfect, I will take it. Kindly gift wrap it.",6,0,0,0,0
Thanks a ton,4,1,0,0,0
"Hi, I want to buy a phone",0,0,0,0,0
"Yes, it should have good battery and good storage.",1,0,0,O O O O B-Battery O O B-RAM O,"High,High,High"
What is its color?,2,0,2,0,0
I am looking for silver color,1,0,0,O O O O B-Color O,Silver
But $Co$ is not my liking and I love silver color ,3,-1,0,0,0
What is its cost?,2,0,8,0,0
Ok book this one for me,6,0,0,0,0
Thanks for helping me.,4,1,0,0,0
"Hello, I want a impressive phone  as I do most of my office work on phone.",0,0,0,0,0
yes I want long lasting battery with big display size.,1,0,0,O O O B-Battery I-Battery O O B-Display_Size O O,"High,Big"
What is its weight?,2,0,14,0,0
Oh that's a bit heavy. Can you suggest some other phone with light weight,1,-1,0,O O O O O O O O O O O O B-Weight_g O,Light
Yes I understand your point but still I would prefer light weight phone,3,0,0,0,0
What is its color?,2,0,2,0,0
I will take it then,6,0,0,0,0
Thannks a ton. You have been very helpful.,4,1,0,0,0
"Hey, I want to buy a phone",0,0,0,0,0
I want to buy Xiaomi phone,1,0,0,O O O O B-Brand O,Xiaomi
How is the camera quality?,2,0,7,0,0
That's very good. What is its display screen size?,2,0,3,0,0
Oh that's big. I want small display size phone,1,-1,0,O O O O O B-Display_Size O O O,Small
I'll have more room in my bags and pockets with small screen size phone,3,0,0,0,0
What is its price?,2,0,8,0,0
"Perfect, I will take it. Kindly gift wrap it.",6,0,0,0,0
Thanks a ton,4,1,0,0,0
"Hi, I am looking for a good phone",0,0,0,0,0
I want to buy 2015 apple mobile as its price has reduced. ,1,0,0,O O O O B-Released_Yr B-Brand O O O O O O,"Apple,2015"
How is the battery life?,2,0,1,0,0
What is its color?,2,0,2,0,0
What is its cost?,2,0,8,0,0
"oh, then also it's out of my budget. My budget is 350. ",1,-1,0,O O O O O O O O O O O B-Cost,350-
I understand but I have budget constraints,3,0,0,0,0
ok can you book it for me,6,0,0,0,0
Thanks for help,4,1,0,0,0
I am in urgent need of a phone,0,0,0,0,0
I want a light weight phone with the RAM of 4 GB.,1,0,0,O O O B-Weight_g O O O O O O B-RAM O,"Light,4"
What is its battery?,2,0,1,0,0
"oh that's less, do you have some other brand phone with better battery ?",1,-1,0,O O O O O O O O O O O B-Battery O O,High
Does it has DualSim?,2,0,13,0,0
"Okay, can you pack this phone?",6,0,0,0,0
Thanks for help,4,1,0,0,0
"Hello , can you help me in selecting a phone ?",0,0,0,0,0
I want to buy a trendy light weight gps operated phone ,1,0,0,O O O O O O B-Weight_g O B-GPS O O,"Light,Y"
What is its display size?,2,0,3,0,0
oh that's quite small. I want a big display size phone as I love watching videos,1,-1,0,O O O O O O O B-Display_Size O O O O O O O O,Big
Yeah but I am not a big fan of small screen size phone.,3,0,0,0,0
What color is it available?,2,0,2,0,0
"Okay, I will buy it then.",6,0,0,0,0
Thanks a lot for your help,4,1,0,0,0
"Hey, I want to buy a trendy phone",0,0,0,0,0
"Hi, I want to buy the best android phone",1,0,0,O O O O O O O B-OS O,And
I want something under 700 Euro,1,0,0,O O O B-Price I-Price O,700-
What is its internal RAM?,2,0,5,0,0
oh that's very less. It will not solve my purpose,1,-1,0,,
"But you’ll have to manually send content there, or instruct your phone to save certain media types to external storage whenever possible.",3,0,0,0,0
What is its cost?,2,0,8,0,0
"Okay, can you pack this phone?",6,0,0,0,0
Thanks for help,4,1,0,0,0
"hi,can you help me in choosing a good phone ?",0,0,0,0,0
it should be dualsim phone and 2015 launched phone,1,0,0,O O O B-Sim O O B-Released_Yr O O,"D,2015"
how much does it cost ? ,2,0,8,0,0
what is it's color ? ,2,0,2,0,0
"oh, is it possible in Black ? ",1,-1,0,O O O O O B-Color O,Black
what is it's cost ? ,2,0,8,0,0
ok can you book it for me,6,0,0,0,0
Thanks for help,4,1,0,0,0
"Hi, I want to buy a  mobile. ",0,0,0,0,0
I am looking for a Oppo phone with good battery life,1,0,0,O O O O O B-Brand O O B-Battery O O,"Oppo,High"
What is its price?,2,0,8,0,0
That's a bit on expensive side. Do have any phone under 200 Euro,1,-1,0,O O O O O O O O O O B-Cost I-Cost O,200-
Sounds perfect. I will buy it.,6,0,0,0,0
It was nice interacting with you. Thanks for your patience and help.,4,1,0,0,0
"Hello, I want to buy a best selling model phone.",0,0,0,0,0
"Yes, i need a samsung phone with multisim in less cost",1,0,0,O O O O B-Brand O O B-Sim O B-Cost O,"Samsung,M,Less"
What is its memory?,2,0,11,0,0
That is too less. Can you suggest a phone with 6 GB Ram and being widely used.,1,-1,0,O O O O O O O O O O B-RAM O O O O O O,6
Having more RAM is important for multitasking because it allows to switch between apps,3,0,0,0,0
What is its cost?,2,0,8,0,0
Sounds good to me. I will take it.,6,0,0,0,0
Thanks a lot for your patience and time.,4,1,0,0,0
"Hi, can you please help me in selecting a phone?",0,0,0,0,0
I want to buy a phone with 13 MP secondary camera as I take lot of selfie,1,0,0,O O O O O O O B-S_Camera O O O O O O O O O,13+
What is its display size,2,0,3,0,0
That's very big. I want a small display size phone,1,-1,0,O O O O O O B-Display_Size O O O,Small
But I am not a fan of big displays,3,0,0,0,0
How much does it cost ? ,2,0,8,0,0
Okay book it for me.,6,0,0,0,0
Thanks for helping me.,4,1,0,0,0
I need a phone,0,0,0,0,0
Phone should have less weight and good primary camera,1,0,0,O O O B-Weight_g O O B-P_Camera O O,"High,Less"
What is its color?,2,0,2,0,0
Whta is its primary Camera?,2,0,7,0,0
oh that's too less. I want at least 16 MP primary camera,1,-1,0,O O O O O O O O B-P_Camera O O O,16
I would like to go for 16 mp or more camera phone,3,0,0,0,0
What is its price?,2,0,8,0,0
"Okay, I will take this phone.",6,1,0,0,0
thanks a ton,4,1,0,0,0
"Hello , I need your help in buying a phone",0,0,0,0,0
I want a black colored single sim phone.,1,0,0,O O O B-Color O B-Sim O O,"Black,S"
what is its camera quality?,2,0,7,0,0
Oh that's too less. I take many pictures too,1,-1,0,O O O O O O O B-Camera O,"High,High"
Yes but I would high MP camera phone,3,0,0,0,0
what is its cost?,2,0,8,0,0
"Okay, I will take this phone.",6,0,0,0,0
You are a very good salesman. Thanks a lot,4,1,0,0,0
"Hello, I am in search of  a good phone.",0,0,0,0,0
it should have small display and less weight.,1,0,0,O O O B-Display_Size O O B-Weight_g O,"Small,Light"
That's it,5,0,0,0,0
What is its Secondary Camera?,2,0,12,0,0
But still I would go for 16 MP+ camera phone,3,0,0,0,0
What is its cost?,2,0,8,0,0
What is its weight,2,0,14,0,0
"Okay, I like this phone. Pack it for me.",6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hi, I am in need of a good phone",0,0,0,0,0
It should be LG company and good battery life,1,0,0,O O O B-Brand O O B-Battery O O,"LG,High"
What is its memory?,2,0,11,0,0
"Superb, What is its cost?",2,0,8,0,0
"Unfortunately, it's a bit costly. Do you  have phone with same specification at less cost ?",1,-1,0,O O O O O O O O O O O O O B-Cost O O,Less
That is good to know but can't afford it,3,0,0,0,0
I will take it.,6,0,0,0,0
Thanks a ton,4,1,0,0,0
"hi,can you help me in buying a phone ?",0,0,0,0,0
it should be of Oppo company with good camera and battery capacity,1,0,0,O O O O B-Brand O O B-P_Camera O O B-Battery O,"Oppo,High,High"
What is its price?,2,0,8,0,0
what is it's color ? ,2,0,2,0,0
"oh, I don't want this color phone. Is it possible in Grey ? ",1,-1,0,O O O O O O O O O O O B-Color O,Grey
but I like Grey,3,0,0,0,0
what is it's cost ? ,2,0,8,0,0
ok can you book it for me,6,0,0,0,0
Thanks for help,4,1,0,0,0
"hi,I need a new phone ?",0,0,0,0,0
it should be of Acer brand with radio facility and internal storage of 32 GB,1,0,0,O O O O B-Brand O O B-Radio O O O O O B-Internal_RAM O,"Acer,Y,32"
how much does it cost ? ,2,0,8,0,0
What is its weight?,2,0,14,0,0
oh that's very heavy and thick. I want light weight phone. ,1,-1,0,O O O O O O O O B-Weight_g O O,Light
what is it's cost ? ,2,0,8,0,0
ok can you book it for me,6,0,0,0,0
Thanks for help,4,1,0,0,0
"hi, I am in search of a good phone",0,0,0,0,0
I want Vivo 4.65 HD mobile,1,0,0,O O B-Brand B-Model I-Model O,"Vivo,Vivo 4.65 HD"
I want to buy a gps phone with good memory backup.,1,0,0,O O O O O B-GPS O O B-RAM O O,"Y,High,High"
What is its OS?,2,0,6,0,0
Oh I have heard Sym is easily affected by Virus. I want Android operating system phone,1,-1,0,O O O O O O O O O O O O B-OS O O O,Android
But I am comfortable with Android Operating phone,3,0,0,0,0
what's the price?,2,0,8,0,0
"Okay, I will book it",6,0,0,0,0
Thanks a lot ,4,1,0,0,0
"Hey, I need a good performing phone",0,0,0,0,0
It should be 2015 released year phone with less weight and high primary camera quality,1,0,0,O O O B-Released_Yr O O O O B-Weight_g O O B-P_Camera O O O,"2015,Light,High"
What is the price?,2,0,8,0,0
Is it a single Sim phone?,2,0,13,0,0
oh I don't want dualsim phone. I want single sim phone,1,-1,0,O O O O O O O O B-Sim O O,S
"But the point with single sim phone is that you can get better battery and performance that is why the expensive phones like apple and pixel are still single sim.

",3,0,0,0,0
What is the cost?,2,0,8,0,0
ok can you book it  for me,6,0,0,0,0
Thanks for help,4,1,0,0,0
"Hey, can you help me in buying a new phone?",0,0,0,0,0
GPS should work on that phone with display size should be big.,1,0,0,B-GPS O O O O O O O O O O B-Display_Size,"Y,Big"
Does it has good primary camera ?,2,0,7,0,0
What is its sim slot?,2,0,13,0,0
what is it's price ? ,2,0,8,0,0
"oh, It is expensive. Can you suggest some other phone in cheaper price ?",1,-1,0,O O O O O O O O O O O B-Cost O O,Less
I want the best cheaper phone with a large display,3,0,0,0,0
ok can you book Oit for me,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Good Evening, I need a affordable phone",0,0,0,0,0
 I need to have a phone that has high internal RAM of 64 GB and cost around 400 Euro.,1,0,0,O O O O O O O O O O O O B-Internal_RAM O O O B-Cost I-Cost O,"64,400-"
What is its cost?,2,0,8,0,0
Whta is its sim slot?,2,0,13,0,0
"oh, sorry I need multisim phone. Sorry I forgot to mention it at the beginning.",1,-1,0,O O O O B-Sim O O O O O O O O O O,M
Yeah but I need multisim phone as I hate carrying two mobile ,3,0,0,0,0
What is its price?,2,0,8,0,0
"Okay, I will take this phone.",6,0,0,0,0
thanks a ton,4,1,0,0,0
"Hello, I am looking for a new phone.",0,0,0,0,0
I want to buy a asus phone with less weight ,1,0,0,O O O O O B-Brand O O B-Weight_g O,"Asus,Light"
What is its battery?,2,0,1,0,0
what is its released year?,2,0,9,0,0
I am looking for a newly launched phone,1,-1,0,O O O O O B-Released_Yr O O,2017
What is its price?,2,0,8,0,0
ok can you book it for me,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
I am looking for good performance  phone,0,0,0,0,0
Its cost should be under 250 Euro,1,0,0,O O O O B-Cost I-Cost O,250-
What is its weight?,2,0,14,0,0
What is its memory?,2,0,5,0,0
"Ah it is less, it will not fulfill my need. Can you suggest some other affordable phone with higher memory ?",1,-1,0,O O O O O O O O O O O O O O O O O O B-RAM O O,High
I understand but I need more space for better performance,3,0,0,0,0
Sounds good to me. Pack this for me.,6,0,0,0,0
Thanks a ton for your time and help,4,1,0,0,0
I wanna buy a phone which is being widely used ,0,0,0,0,0
My basic requirement is that I need a phone which has an excellent secondary camera and radio should work on it.,1,0,0,O O O O O O O O O O O O B-S_Camera O O O B-Radio O O O O,"High,Y"
Oh I don't want Asus phone. I want Samsung phone,1,-1,0,O O O O O O O O B-Model O,Samsung
How much is it for?,2,0,8,0,0
Does it also have Dual SIM option?,2,0,13,0,0
"Okay, can you pack this phone?",6,0,0,0,0
It was nice talking to you. Thanks a lot for your help.,4,1,0,0,0
"Hi, I need a phone",0,0,0,0,0
"I want Sym operating smart phone, with good memory.",1,0,0,O O B-OS O O O O B-Battery O,"Sym,High"
Looks nice. How’s the battery life?,2,0,1,0,0
what is its price?,2,0,8,0,0
"Oh, that's not for me. It is highly priced. Do you have something under 300 Euro ?",1,-1,0,O O O O O O O O O O O O O B-Price I-Price O O,300-
I understand but my pocket does not allow that,3,0,0,0,0
"okay, I will buy it.",6,0,0,0,0
Thanks for help,4,1,0,0,0
"Hi, I want to buy a phone",0,0,0,0,0
"hello, I am looking for 2015 released year phone as its price will be less",1,0,0,O O O O O B-Released_Yr O O O O O O O O O,2015
What is its OS?,2,0,6,0,0
"Sorry, I don't want to buy any Window operating Phone",1,-1,0,O O B-OS O O O O B-OS O O,Non-Windows
But it is unable to do multitasking,3,-1,0,0,0
Okay but most of my friends have Android OS mobile and I want the same,1,0,0,O O O O O O O B-OS O O O O O O O,Android
What features stands it apart from other phone?,2,0,11,0,0
In what color is it available?,2,0,2,0,0
How much does it cost?,2,0,8,0,0
"I want to purchase this. Can you gift wrap for me?
",6,0,0,0,0
Thanks for your time. You are very goood in selling.,4,1,0,0,0
"Hi, I want to buy a mobile. Which cellphone should I buy?",0,0,0,0,0
I am looking for 2015 released Apple phone with less weight,1,0,0,O O O O B-Released_Yr O B-Model O O B-Weight_g O,"Apple,2015,Light"
What is its display_size,2,0,3,0,0
Oops that's a big one. I want small size display,1,-1,0,O O O O O O O B-Display_Size O O,Small
Good things come in smaller packages so will go for smaller screen phone,3,0,0,0,0
Sounds perfect. I will buy it.,6,0,0,0,0
It was nice interacting with you. Thanks for your patience and help.,4,1,0,0,0
"Hey, I need a fantastic phone",0,0,0,0,0
"Hi, I want to buy Vivo mobile with good camera. ",1,0,0,O O O O O B-Brand O O B-Camera O,"Vivo,High,High"
What is its weight?,2,0,14,0,0
That's too heavy. It feels like a brick.,3,-1,0,0,0
I want light weight sleek phone,1,0,0,O O B-Weight_g O O O,Light
What is its cost?,2,0,8,0,0
That's cool. I will take it. Can I pay it by card?,6,0,0,0,0
Thanks for your help.,4,1,0,0,0
I need a new phone. Can you suggest some?,0,0,0,0,0
"Yes, picture quality should be good as I like clicking pics. One more thing its OS should be Sym",1,0,0,O O O O O B-Camera O O O O O O O O O O O O B-OS,"High,High,Sym"
Does Radio works on it?,2,0,10,0,0
I often listen to Radio.,1,0,0,O O O O B-Radio,Y
"Sounds good. Pack this for me,",6,0,0,0,0
Thanks a ton.,4,1,0,0,0
"Good Evening, I want to buy a phone",0,0,0,0,0
"Yes, I want to buy a dualSim samsung mobile.",1,0,0,O O O O O O B-Sim B-Brand O,"Samsung,D"
GPS should work on it.,1,0,0,B-GPS O O O O,"Y,Y"
What is its cost?,2,0,8,0,0
Sorry this phone does not fit in my budget. It is a bit costly. Show me phone around 250 Euro,1,-1,0,O O O O O O O O O O O O O O O O O B-Cost I-Cost O,250-
But I have limited money.,3,0,0,0,0
Sounds perfect. Book this for me.,6,0,0,0,0
Thank you so much for all your help.,4,1,0,0,0
"Hello , can you help me in selecting a phone ?",0,0,0,0,0
Camera shoud be awsome,1,0,0,O O O B-Camera,High
What is its memory?,2,0,11,0,0
Sorry that seems too less. I want high RAM at least 4 GB,1,-1,0,O O O O O O O B-RAM O O O B-RAM O,4+
What color is it available?,2,0,2,0,0
"Okay, I will buy it then.",6,0,0,0,0
Thanks a lot. You helped me a lot today,4,1,0,0,0
"Hi, I want to purchase a good  phone ",0,0,0,0,0
My requirements are dual camera phone  with good battery life ,1,0,0,O O O B-Camera O O O B-Battery O O,"Dual,High"
"Yes, Phone should be doublesim phone",1,0,0,O O O O B-Sim O,D
What is its OS?,2,0,6,0,0
I don't want $OS$ OS phone. Suggest me And based phone,1,-1,0,OS,Android
I like And. Can you suggest some other dual camera phone which works on And OS,3,0,0,0,0
What is its cost?,2,0,8,0,0
"Okay, can you pack this phone?",6,0,0,0,0
Thanks for help,4,1,0,0,0
"Hello, I want to buy a best selling model phone.",0,0,0,0,0
"Yes, i need a phone Mic OS in cost around 300",1,0,0,O O O O O B-OS O O O B-Cost I-Cost,"Mic,300-"
What is its camera?,2,0,7,0,0
oh I don't want this phone. I want dual camera phone.,1,-1,0,O O O O O O O O B-P_Camera O O,Dual
Dual Camera offers plenty of benefits,3,0,0,0,0
What is its cost?,2,0,8,0,0
Sounds good to me. I will take it.,6,0,0,0,0
Thanks a lot for your patience and time.,4,1,0,0,0
"Hi, can you please help me in selecting a phone?",0,0,0,0,0
I want to buy dual primary camera phone,1,0,0,O O O O B-P_Camera O O O,Dual
How much does it cost ? ,2,0,8,0,0
What is its OS,2,0,6,0,0
"oh, I don't want this. I want Mic OS",1,-1,0,O O O O O O O B-OS O,Mic
Okay book this model for me.,6,0,0,0,0
Thanks for helping me.,4,1,0,0,0
"Hello, I want to buy a new phone.",0,0,0,0,0
I want to buy a phone with small display size and less weight ,1,0,0,O O O O O O O B-Display_Size O O O B-Weight_g O,"Small,Light"
What is its battery?,2,0,1,0,0
What color is it?,2,0,2,0,0
What is its camera?,2,0,7,0,0
Oh I want dual camera phone,1,-1,0,O O O B-P_Camera O O,Dual
Dual wide-angle lens camera takes photos that are much wider than usual.,3,0,0,0,0
What is its price?,2,0,8,0,0
ok can you book it for me,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hi,I want to buy a phone.",0,0,0,0,0
I want a dual camera doublesim phone,1,0,0,O O O B-P_Camera O B-Sim O,"D,P_Camera-Dual"
What is its cost?,2,0,8,0,0
oh that is way above my budget ,1,-1,0,O O O O O O B-Cost,Less
Ok please complete the booking process.,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hi,I want to buy a phone.",0,0,0,0,0
I want a multiSim balckberry phone,1,0,0,O O O B-Sim B-Brand O,"Blackberry,M"
What is its cost?,2,0,8,0,0
oh that's a bit costly. Show me little expensive phone ,1,-1,0,O O O O O O O O B-Cost O,Less
I don't have much money,3,0,0,0,0
Ok please complete the booking process.,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
I need a phone which fulfills all my requirements.,0,0,0,0,0
I want to buy a Oppo dual camera phone,1,0,0,O O O O O B-Brand B-P_Camera O O,"Oppo,Dual"
what is its battery?,2,0,1,0,0
Oh that's very less. I need a long lasting battery phone,1,-1,0,O O O O O O O O B-Battery O O,High
I do lot of surfing so need high quality battery phone,3,0,0,0,0
Ok please complete the booking process.,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
I need a phone which fulfills all my requirements.,0,0,0,0,0
I want to buy a phone with small display size and less weight ,1,0,0,O O O O O O O B-Display_Size O O O B-Weight_g O,"Small,Light"
What is its camera?,2,0,7,0,0
Oh I click lot of selfies. I don't want VGA secondary camera ,1,-1,0,O O O O O O O B-S_Camera O B-S_Camera O O,Non VGA
But I click photos with my phone only,3,0,0,0,0
What is its cost?,2,0,8,0,0
Ok please complete the booking process.,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hi, I want to buy a mobile.",0,0,0,0,0
"Yes, mobile should have good battery and OS should be Mic",1,0,0,O O O O B-Battery O O O O O B-OS,"High,Mic"
What is its color?,2,0,8,0,0
oh! But I am looking for blue color phone,1,-1,0,O O O O O O B-Color O O,Blue
What is its cost?,2,0,8,0,0
Ok please complete the booking process.,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hello, I want a good phone as I do most of my office work on phone.",0,0,0,0,0
"Yes, battery should lasts long as I travel a lot and it should be Vivo phone with android OS.",1,0,0,O O O O B-Battery O O O O O O O O O B-Brand O O B-OS O,"High,Vivo,Android"
What is its display size?,2,0,3,0,0
"oh, that's a bit small. Can you suggest some other phone with big display size",1,-1,0,O O O O O O O O O O O O B-Display_Size O O,Big
Yes I understand your point but still I would prefer big display size  phone,3,0,0,0,0
What is its cost?,2,0,8,0,0
Ok please complete the booking process.,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
I need a phone which fulfills all my requirements.,0,0,0,0,0
I want to buy Xiaomi phone with primary and scondary camera above 12 MP,1,0,0,O O O O B-Brand O O O O O O B-Camera I-Camera O,"Xiaomi,12+,12+"
What is its memory?,2,0,11,0,0
Sorry that seems too less. I want high Internal RAM at least 64 GB,1,-1,0,O O O O O O O O O O O O B-Internal_RAM O,64
What color is it available?,2,0,2,0,0
"Okay, I will buy it then.",6,0,0,0,0
Thanks a lot. You helped me a lot today,4,1,0,0,0
"Hello, I want a good phone ",0,0,0,0,0
"Yes, I want HP phone with Radio ",1,0,0,O O O B-Brand O O B-Radio,"HP,Y"
What is its display size?,2,0,3,0,0
oh that's very big. I want small screen size phone,1,-1,0,O O O O O O B-Display_Size O O O,Small
Yes I understand your point I keep my phone in my jeans pocket  ,3,0,0,0,0
What is its cost?,2,0,8,0,0
Ok please complete the booking process.,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hello, I want a good phone ",0,0,0,0,0
I want to buy Nokia mobile with at least 2500 mAH battery,1,0,0,O O O O B-Brand O O O O B-Battery O O,"Nokia,2500+"
What is its camera?,2,0,7,0,0
What is its display size?,2,0,3,0,0
"oh that's very big, I want small display size phone",1,-1,0,O O O O O O B-Display_Size O O O,Small
I don't feel comfortable carrying big phone whole day,3,0,0,0,0
What is its cost?,2,0,8,0,0
Ok please complete the booking process.,6,0,0,0,0
Thanks a lot for your time,4,1,0,0,0
"Hi,I want to buy a phone.",0,0,0,0,0
I want to buy a phone with 64 GB internal RAM and primary camera above 12 MP ,1,0,0,O O O O O O O B-Internal_RAM O O O O O O B-P_Camera I-P_Camera O,"64,12+"
What is its cost?,2,0,8,0,0
Does Radio works on it?,2,0,10,0,0
I often listen to Radio.,1,0,0,O O O O B-Radio,Y
Sorry show me a phone in which radio works coz Streaming music and podcasts consumes more data so I would rather prefer phone with radio facility ,3,-1,0,0,0
ok can you book it for me,6,0,0,0,0
Thanks a ton dear,4,1,0,0,0
"Hi,I want to purchase a phone.",0,0,0,0,0
I want a light weight phone with dual camera.,1,0,0,O O O B-Weight_g O O O B-P_Camera O,"Light,Dual"
What is its cost?,2,0,8,0,0
"Oh no, that’s very costly, show me a cost-effective phone which has got both good camera and good storage.",1,-1,0,O O O O O O O O B-Cost O O O O O O O O O O,Less
ok can you book it for me,6,0,0,0,0
Thanks a ton dear,4,1,0,0,0
"Hi,I am looking for a phone.",0,0,0,0,0
Brand should be Motorola and yes it should be dualsim phone,1,0,0,O O O B-Brand O O O O O B-Sim O,"Motorola,D"
What is its internal RAM?,2,0,5,0,0
What is its cost?,2,0,8,0,0
What is its color?,2,0,2,0,0
"ok ,book it for me",6,0,0,0,0
Thanks a ton dear,4,1,0,0,0
"Hey, I want to gift a phone to my brother",0,0,0,0,0
"yes, I want a big display size GPS operated Gionee phone ",1,0,0,O O O O B-Display_Size O O B-GPS O B-Brand O,"Big,Y,Gionee"
What is its price?,2,0,8,0,0
Oh I don't have budget for this phone. Show me a Gionee phone around 350 Euro,1,-1,0,O O O O O O O O O O O O O B-Cost I-Cost O,350-
Then I will have to take loan. Show me inexpensive phone,3,0,0,0,0
What is its color?,2,0,2,0,0
what is its weight?,2,0,14,0,0
Sounds good to me. Please book it for me,6,0,0,0,0
Thanks for all your time.,4,1,0,0,0
"Good Evening, I am looking for a trending phone",0,0,0,0,0
 I need to have a phone in which radio works and has good battery life.,1,0,0,O O O O O O O O B-Radio O O O B-Battery O O,"Y,High"
What is its color?,2,0,2,0,0
What is its OS,2,0,6,0,0
I want Bla phone. ,1,-1,0,O O B-OS O,Bla
I have always used Bla so I don't want to switch to any other OS,3,0,0,0,0
What is its price?,2,0,8,0,0
"Okay, I will take this phone.",6,1,0,0,0
thanks a ton,4,1,0,0,0
"Hey, I want to buy a phone.",0,0,0,0,0
I want a multi sim sony phone.,1,0,0,O O O B-Sim O O O,M
what is its camera quality?,2,0,7,0,0
What is its internal Ram storage?,2,0,5,0,0
I want a Samsung phone with more internal RAM space,1,0,0,O O O O O O B-Internal_RAM O O O,High
what is its cost?,2,0,8,0,0
"Okay, I will take this phone.",6,0,0,0,0
You are a very good salesman. Thanks a lot,4,1,0,0,0
I am looking for a good phone,0,0,0,0,0
I want a 2017 released samsung phone,1,0,0,O O O B-Released_Yr O B-Brand O,"2017,Samsung"
I want Android OS,1,0,0,O O B-OS O,Android 
What is its color,2,0,2,0,0
"Okay, I will book $Co$ color phone",6,0,0,0,0
Thanks a lot.,4,1,0,0,0
"Good evening, I am looking for a good phone",0,0,0,0,0
I am looking for a Asus phone in which Radio works,1,0,0,O O O O O B-Brand O O O B-Radio O,"Asus,Y"
What is its OS?,2,0,6,0,0
Oh I want Mic OS. It's user friendly and phone also does not hang,1,0,0,O O O B-OS O O O O O O O O O O,Mic
But  I  am not comfortable with $OS$.,3,-1,0,0,0
"Lovely, what is its cost?",2,0,8,0,0
Book it for me.,6,0,0,0,0
Thanks dear,4,1,0,0,0
I need to buy a phone,0,0,0,0,0
Phone should have dual camera and high battery capacity,1,0,0,O O O B-P_Camera O O B-Battery O O,"Dual,High"
No thats all.,5,0,0,0,0
what about secondary camera ?,2,0,12,0,0
Oh it is so low,3,-1,0,0,0
Could it be 13 MP as I take lot of selfies,1,0,0,O O O B-S_Camera O O O O O O O,13+
what is its secondary camera ? ,2,0,12,0,0
It sounds great.,3,1,0,0,0
Ok can you book it for me?,6,0,0,0,0
Thanks for assistance.,4,1,0,0,0
"Good Evening, I want to buy a cell Phone",0,0,0,0,0
I want to buy a blackberry phone in black color,1,0,0,O O O O O B-Brand O O B-Color O,"Blackberry,Black"
What is its battery?,2,0,1,0,0
What is its cost?,2,0,8,0,0
